text,true_label,predicted_label,raw_response
@lexiphanic Awww too cute my lil Greggles.  Miss you too.  We didn't have a final Feist dance ,0,1,Positive
@valeriesteinier unfortunately we have a packed day  we are going to the #dentc next Tues. Have fun! Would love to ck out Hi*Rise soon,0,0,Neutral
@MidiEastQueen I'll try ,0,1,positive
@Johnathonhock I miss you already and ill miss this  http://bit.ly/vqReK,0,0,Negative.
"i just got my heart broken, the guy i like , its kinda in love with a friend of mine and he wants me to help him!  sad",0,0,Negative
tummy ache ,0,0,Negative
is feeling a lot of love today. ,1,1,Positive
@SIIMPLYBADD09 G NITE I'M OFF 2 SLEEP MY CALI LOVE ,1,1,Positive
"listenin to some Pinkly smooth and A7X, chattin with friendz, lookin up pixz of Syn the workz...  check out my YouTube ToiletManProductioz",1,1,Positive
"Im at my friends house in another city, studying for the Anatomy final tomorrow ! hope i can pass it ! its a lot of stuff to memories ",0,1,Positive
is up north with kyle till tomorrow  sun burnt.,1,0,Negative
@OrganGrinder_  i wanted them to talk about the footy lol coz shes a qld and he is NSW,0,0,Negative
Having fun at two bridal showers!  Loooooove them ,1,1,Positive
Ended up making lots of bitsy_bones wallpapers with quotes from the show. They are so stinkin' cute! ,1,1,Positive
"isn`t it funny when one day, some stranger came up to you and said: &quot;may i get your fone number?&quot; -- i bet not. it`s freaky, though LOL ",1,0,Negative
http://twitpic.com/2ybo7 - thats me. i got bored. ,1,0,Negative
@markhoppus #delongeday #delongeday #delongeday ,1,1,Positive
Download Charice's single Note to God @ iTunes &amp; Amazon.. Thnx!!! ,1,1,Positive
"@AjitJaokar Yes, it's working from TwitterBerrry ",1,1,positive
my parents like the format! ,1,1,Positive
@yayitsnina I can't go this Saturday I'm gonna be out of town ,0,0,Negative
@OAR_Richard oartv was amazing last night.  thanks for answering questions   can't wait to hear the recording!!!,1,1,Positive
"@rustyrockets I'll give you a fiver towards the fine - not much, but Im skint from paying for  Al Darlings eyebrow waxing ",0,0,Negative.
@ae_ace come eat sushi and drink with us! ,1,1,Positive.
@TferThomas  We are both following and I don't think I have seen him online lol ,1,1,Positive.
Just finished with Dairy Milk for second consecutive day.. yumm... and i still ve one more Fruit and Nuts staring at me..  nyum nyum..,1,1,Positive
At home .... ,1,0,Neutral
John_Mak  wooo  only one follower and one following.. and both meee (6) mwuahaha x,1,0,Negative
bought so much holiday stuff 2day dont think my suitcase is big enuf tho  its so pretty aswell. got a new sleeping bag for T aswell!,0,1,Positive.
School disco tonight  Tattoo tomorrow  15 days till holiday time   Few things to look forward to..,1,1,Positive
@Jmartin520  Ive been thinking about that song all day trying to finish my freaking spanish final haha,0,1,Positive
Sigh. Think my 360 might RROD soon. Just turned it on and left it in Dashboard for a few mins and it crashed with distrorted images ,0,0,negative
I just rhinestoned my phone ,1,1,Positive
@metaglyph  oh cool!  i got mine to work i may bring it with me,1,1,Positive
"@mallybeauty Can. Not. Wait!  I will stay up to see what goodies you bring, since I am still waitlisted for you TSV.  ",0,1,Positive
Will I ever be the exception  I should have never seen that movie,0,0,Negative
@petehopkins Please tell us.... Lol. I'd like to know. Curiosity killed the cat and I'm a kitty! Where have you been stranger? ,1,1,Positive
@W4rW1ck FUNNIEST THING EVER AND I WISH IT HAD HAPPENED! i would have found out who wrote it on  [and maybe how often he washes his ass]..,0,0,Negative
Sitting on kings parade cambridge..lully on your lunch break! Boy I'm gonna miss this ,0,1,Positive
@AlexxEnglish apparently i talked to someone and told them about a bike and i dont use the phone i'm to quiet  ESOTSM;,0,0,Negative
working sucks  but i need the money for a beagle lol love you jason,0,0,Negative.
watching Two can play that game...love this movie' wish I had someone to watch it w. ,0,1,Positive
MISS YOU SOOOO MUCH!  ,0,1,Positive
Drink #7 or 8 for me (at the club). Been drinking for the past 6 hours.  http://twitpic.com/4wn9q,1,0,Negative.
@joeymcintyre Yay! Way to go Joe! ...I'll be buying a T-shirt BTW  x,1,1,positive
Don't you hate it wgen you wait sooo long for a speacial package to come. And when it does. It doesn't come complete ,0,0,Negative.
"@BarbieBibiana jus waking up with like a WHOLE BED of clothes to fold up, so i guess im occupied for the next hour ",0,0,Negative
@CamilaMCRmy im watching a movie on my TV  haha. what the time is it there ryt now btw?,1,1,Positive
@McFLYFan_Katie listening to wonderful music.  I'd like to have holidays now.  xx,1,1,Positive
is bored  cinema later though the sleep over (Y),0,0,Negative
roommate time with @sambushed ,1,1,Positive
@gtvone Did the video get uploaded yet??? Want to see my name in lights! ,1,1,positive.
3 short ,0,1,Positive.
Brantly Farm was so fun! We got some great pictures. Now for some lunch and a nap. ,1,1,Positive.
"@lorenrochelle but it looks delicious, loren  i would join you, and bring wine.",1,1,Positive.
as per @eevil: &quot;of course art brut likes the same ramones songs as you.&quot; ,1,0,Negative
"@MadRadSammy Oh yeah what did you order?  I had a laser hair appt today, ask Rhonda why she hasn't used her gift cert from me yet?  ",0,0,Neutral.
I was on the verge of passing out inside the church earlier. ,0,0,Negative
@AmericanWomannn No... Going to bed now. Besides coffee really is not agreeing with me lately. ,0,0,Negative
@itsrissabxtch U BETTER PASS IT AROUND WHILE U CAN CAUSE IT'S COMING DOWN SOON! ,1,0,negative
"@in2itgirl What did you try, hon? ",1,1,Positive
"@thecraigmorris I am 100% sure your right, but you wouldn't be able to persuade @moonflowerchild that it is ",0,0,Negative
I have a brand new Nokia Nseries phone next to me...  This makes me happy.,1,1,Positive.
On me way to work  baddd times,0,0,negative
@chrisbrewer62  and 'cause ya can .. makes me very green  have fun!,1,1,Positive
"is goin to bed, nite all  2mrra's a new day...thank god!",1,1,Positive
@AlanReidHall no I don't use that appl! I looked at it and it sent off the tweet. Tried to delete but it won't go away ,0,0,Negative
MOHS Graduation C/O 2009 @ MOHS Football Field GRADUATION CEREMONY: 6   LEI CEREMONY: 7:30 be there ,1,1,Positive
@shaliniakhil 411 - I caved. I stayed. Another 6 months  when are you flying? August right? Excited?,0,1,Positive
is off work....but still has two more nights to go ,0,0,Negative
Eating fish and chips  yum,1,1,Positive
In 1 hour my 2pm-10pm shift will have started  depressing...,0,0,Negative
@DanielleNicole I'm totally horrible!  I ended up getting The Sims 3 on my phone and for the computer... Love it!!,1,1,Positive
@clicktokill That's kinda gay. I have a real nice pic of me now  /vainVAIN VAIINNNNNNN hahahaha,0,0,Negative
@kasieokoro I'm jus doin my civil duty! Hahahaha. Thanks tho Kasie. Jus tryna make the world a better place.  ,1,1,Positive
needs followers ,0,0,negative
@MRJELLYBEANZ  so why i got the FF props? Just curious  :,1,0,Neutral
Yo all. Im noob. Plz hlp me ,0,0,Negative
@sarahweissman That's a wonderful feeling to wake up with! ,1,1,Positive.
last night having Claire around  and really hoping her time in the US will be quite simply amazing! ,0,1,Positive
OAR Wednesday at 7!!! cant wait ,1,1,positive.
@gdgreely lol which one papi   http://myloc.me/20PG,1,1,Positive
is watching the X Files for the first time in years. Forgot how good it was! And how nice Mulder is. ,1,1,Positive
"bleh, icky mood ",0,0,negative.
@jonasbrothers I miss your concert in Rio de Janeiro so much! It was the best eveeeer!When are you guys coming to Brazil again? Love you ,1,1,Positive
@gemzgirl73 You kids are so cute!! ,1,1,Positive
I think he's the choclate chips to my mint ice cream ,1,1,Positive
@WestHamProcess i think he'll be waiting for you to finish your birthday celebrations before calling ,1,0,Negative
@amylovesoliver Good thing I switched to watermelon. Then you can slice and share. Use those Japanese knives of @excite108. ,1,1,Positive
Been listening to Slim Shady since morning. _Relapse_ is wayyy gooder than _Encore_. ,1,1,Positive.
joining twitter ,1,0,negative
Going to give a presentation about Patrick Bateman (character analysis) tomorrow. Unfortunately not in a Patrick Bateman costume. ,0,0,Negative
@DanaeNicoleRudd no of course not u want to make it on your own so it feels even better when you do ,1,1,Positive
Chrissy Marquette... I WANNA BANG YOU! GO COUGAHS!!!!!  &lt;3333333333,1,1,Positive
@icassel yes I did &amp; we liked it. ,1,1,Positive
"reading The Little Prince, thanks Justina ",1,1,positive
I'm cold  and bored. And feeling like shit,0,0,Negative
"Oh, this is a bummer, can't use video feature cause I don't have latest iPhone   http://mobypicture.com/?8az56i",0,0,Negative
"@shintabubu hey shinta!  i'm headed to bed now, but perhaps tomorrow night - when our hours overlap... ",1,1,Positive
@lucylemon LOL I know we got the wrong one to start of with it was just an expensive fancy pedometer with no gps ,0,0,Negative
The kuzin in law really hates my hair! ,0,0,Negative
@ddlovato was amazing when she performed in Chile ,1,1,Positive.
@cheth Get well soon. ,1,1,Positive
@samfaag okay when lets plan so i can put the date in my iphone ,1,0,Neutral
@stefanodimera Thanks for being a Tweetheart on here ,1,1,Positive
@rob_morgan i'd have traded it all for the gloucester team to show up instead if the local womens team that took their place ,1,0,Negative
Gonna start packing today only a week left in halls ,0,0,Negative.
@alittlelamb were you at SYTYCD? I didnt see you. ,0,0,Neutral
"@LostMarilyn Yeah, those are slinkster cool! ",1,1,Positive
Needs to go shopping. No girls this weekend ,0,0,Negative
"@Powells I'd love that separate Twitter account. I live in ME, so can't get to in-store events. It just makes me sad to not live nearby ",0,0,Negative
@RyanSeacrest Don't do it! Will make me feel old. ,0,0,Negative
"@jimmietryon My 62-yo neighbor uses Linux for simple printing, email, web. No CLI needed. I use the CLI 4 shortcuts, mostly. ",1,1,Positive
@jaystewart o_O how could you do that? I feel sick too. Some undiserving person got an apple product. ,0,0,Negative
@Navi_Ganancial  I miss the bay area / Sonoma. ,0,0,Negative.
"Ugh, he hasn't updated in forever!!!  that sucks! I'm gonna e-mail him!",0,0,Negative
"wow, i can't believe a tornado caused damage to southlands mall.  scary",0,0,Negative
@jimbazzano Thanks man - Howard Stern at 35k feet isn't bad. ,1,1,Positive
@kiD_Myst3ry i bet u dont remember me ,0,0,Negative.
Ow it hurts ,0,0,Negative.
@elvisduran I realllllly need the miracle worker! I'm dying to see @taylorswift13 at MSG and the tickets are sold out  =( Please help me! ,1,0,Negative
I tried all last summer calling everyday to get tickets and got nothing and ive been doing the same this year. I really want to go ,0,0,Negative
"@Zwel Aight, de 15&quot; of 17&quot;? ",1,0,neutral
@FabScoutHoward haha wow.. ,1,1,Positive.
still spitting out stitches from that bone graft ,0,0,Negative
Hair cut in the morning ,0,0,Neutral.
"@hollseey ten minutes. Circle line decide not to to anywhere when I got on  still, nearly home now...",0,0,Negative
Think I broke Twitter on my Tumblr and Facebook pages. ,0,0,Negative.
"@rhandilynn I don't know you, but i know how that feels ",0,1,Positive
@vbgirlie yea you have a good point! I still got my awesome sista Brandi ,1,1,Positive.
@uhhuh143 Your very welcome. ,1,1,positive
@RoodKid Ahhh  I loves you too david!!  xxxxxx Miss You ,0,1,Positive
 watching @thelyness leave for texas.,0,0,Negative
@vinelage vi no youtube =D gravaram do DC on demand ,1,1,Positive
Really wanting to see UP. Any thoughts so far? What are your opinions  Highly rated IMDB,1,1,Positive
@mileycyrus Hey just started following you! can't wait to read your updates! ,1,1,Positive
I freakin miss okinawa... awww ,0,1,positive
"second night home alone in a row,  hates life",0,0,Negative
i think i gotta make a new twitter account cuz my &quot;sojufied&quot; one is seriously all fucked up ,0,0,Negative
its sunny finally! soo stoked for beach season! but for noww i have to go to work. boo ,0,1,Positive
Tweetdeck still not coming up for me on the app store on my touch.  http://ff.im/446C8,0,0,Negative
@bjds my WRX doesnt go sideways in the rain like my Skyline does ,0,0,Negative
@rustyrockets I don't know what to say to get a reply. What about I love you? Which is true.  xx,1,0,Negative
I am helping a good friend get setup on Linkedin  His company is in the process of layingoff. ,0,1,Positive
@DMosley had the worst experience w/ auto pay. Don't recommend it. In 140 characters $700 was taken out of my a/c &amp;took a month to return ,0,0,Negative.
@Cathay_Pacific just wanted to say a big thank you for being such a great airline. As a travel writer things like this mean A LOT! ,1,1,Positive
I wasnt able to make it to the march today  but it's okay.....,0,1,Positive
@acciokatie sounds good... im still trying to get that day off work though ,0,1,positive
Feel hurt. in car. gonna watch a funny movie. someone talk ,0,0,Negative
@luketurcotte Not having Hulu in Germany sucks ,0,0,Negative
@Rongura  Pretty sure you'll feel better tomorrow ,0,1,Positive
@friendsofED your website is down... I was going to buy a book. Now I'm sad ,0,0,Negative
"today is the flight of my beloved friends going back to her place, Capiz... I will see her again on December... ",0,1,Positive.
Netherlands defeating England was awesome. Loved the match. We had the first surprise of the world cup in the very first match. WooHoo ,1,1,Positive
@Joanne_Luvli keep me posted please.. ,0,1,Positive
"@MickyFin Yep, but I got no such email yet  hoping it's just slow coming through. Never got last email either though.",0,0,Negative
i just cant do it captain...i dont have the power!!...name that movie....come on this is an easy one! ,1,1,Positive
